id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,tipo,infantil
1,Lionel Messi,Deportes,Futbolista,Muy alta,Fácil,Actual,Persona,Sí
2,Cristiano Ronaldo,Deportes,Futbolista,Muy alta,Fácil,Actual,Persona,Sí
3,Rafa Nadal,Deportes,Tenista,Muy alta,Fácil,Actual,Persona,Sí
4,Fernando Alonso,Deportes,Automovilismo,Muy alta,Fácil,Actual,Persona,Sí
5,Michael Jordan,Deportes,Baloncesto,Muy alta,Fácil,Histórica,Persona,Sí
6,Serena Williams,Deportes,Tenis,Muy alta,Fácil,Actual,Persona,Sí
7,Diego Maradona,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
8,Pelé,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
9,Iker Casillas,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
10,Rosalía,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
11,Shakira,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
12,Michael Jackson,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
13,Freddie Mercury,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
14,Madonna,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
15,Bad Bunny,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
16,David Bowie,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
17,Adele,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
18,Penélope Cruz,Cine y TV,Actriz,Muy alta,Media,Actual,Serie,Sí
19,Antonio Banderas,Cine y TV,Actor,Muy alta,Media,Actual,Serie,Sí
20,Javier Bardem,Cine y TV,Actor,Muy alta,Media,Actual,Serie,Sí
21,Johnny Depp,Cine y TV,Actor,Muy alta,Media,Actual,Serie,Sí
22,Leonardo DiCaprio,Cine y TV,Actor,Muy alta,Media,Actual,Serie,Sí
23,Meryl Streep,Cine y TV,Actriz,Muy alta,Media,Histórica,Serie,Sí
24,Marilyn Monroe,Cine y TV,Actriz,Muy alta,Media,Histórica,Serie,Sí
25,Tom Hanks,Cine y TV,Actor,Muy alta,Media,Histórica,Serie,Sí
26,Pedro Almodóvar,Cine y TV,Director,Muy alta,Difícil,Actual,Serie,Sí
27,Al Pacino,Cine y TV,Actor,Muy alta,Media,Histórica,Serie,Sí
28,Frida Kahlo,Arte,Pintora,Muy alta,Difícil,Histórica,Obra,Sí
29,Pablo Picasso,Arte,Pintor,Muy alta,Difícil,Histórica,Obra,Sí
30,Vincent van Gogh,Arte,Pintor,Muy alta,Difícil,Histórica,Obra,Sí
31,Salvador Dalí,Arte,Pintor,Muy alta,Difícil,Histórica,Obra,Sí
32,Leonardo da Vinci,Arte,Artista,Muy alta,Difícil,Histórica,Obra,Sí
33,Miguel de Cervantes,Literatura,Escritor,Muy alta,Difícil,Histórica,Obra,Sí
34,William Shakespeare,Literatura,Escritor,Muy alta,Difícil,Histórica,Obra,Sí
35,J. K. Rowling,Literatura,Escritora,Muy alta,Difícil,Actual,Obra,Sí
36,Gabriel García Márquez,Literatura,Escritor,Muy alta,Difícil,Histórica,Obra,Sí
37,Agatha Christie,Literatura,Escritora,Muy alta,Difícil,Histórica,Obra,Sí
38,Don Quijote,Literatura,Personaje,Muy alta,Difícil,Histórica,Obra,Sí
39,Harry Potter,Literatura,Personaje,Muy alta,Difícil,Actual,Obra,Sí
40,Sherlock Holmes,Literatura,Personaje,Muy alta,Difícil,Histórica,Obra,Sí
41,Mafalda,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
42,Tintín,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
43,Astérix,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
44,Obélix,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
45,Darth Vader,Personajes,Ciencia ficción,Muy alta,Fácil,Histórica,Personaje,Sí
46,Indiana Jones,Personajes,Aventuras,Muy alta,Fácil,Histórica,Personaje,Sí
47,La Sirenita,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
48,Pitufina,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
49,Woody,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
50,Buzz Lightyear,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
51,Mickey Mouse,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
52,Donald Duck,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
53,Goofy,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
54,Simba,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
55,Scar,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
56,Ariel,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
57,Cenicienta,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
58,Blancanieves,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
59,Peter Pan,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
60,Campanilla,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
61,Homer Simpson,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
62,Bart Simpson,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
63,Bob Esponja,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
64,Scooby-Doo,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
65,Tom,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
66,Jerry,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
67,Superman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
68,Batman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
69,Spider-Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
70,Hulk,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
71,Iron Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
