id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,internacional
1,Lionel Messi,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true
2,Cristiano Ronaldo,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true
3,Rafa Nadal,Deportes,Tenista,Muy alta,Fácil,Actual,Internacional,true
4,Fernando Alonso,Deportes,Automovilismo,Muy alta,Fácil,Actual,Internacional,true
5,Michael Jordan,Deportes,Baloncesto,Muy alta,Fácil,Siglo XX,Internacional,true
6,Serena Williams,Deportes,Tenis,Muy alta,Fácil,Actual,Internacional,true
7,Diego Maradona,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
8,Pelé,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
9,Iker Casillas,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
10,Rosalía,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false
11,Shakira,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
12,Michael Jackson,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
13,Freddie Mercury,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
14,Madonna,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
15,Bad Bunny,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
16,David Bowie,Música,Cantante,Alta,Media,Siglo XX,Internacional,true
17,Adele,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
18,Penélope Cruz,Cine y TV,Actriz,Muy alta,Fácil,Actual,Internacional,true
19,Antonio Banderas,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
20,Javier Bardem,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
21,Johnny Depp,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
22,Leonardo DiCaprio,Cine y TV,Actor,Muy alta,Fácil,Actual,Internacional,true
23,Meryl Streep,Cine y TV,Actriz,Alta,Media,Siglo XX,Internacional,true
24,Marilyn Monroe,Cine y TV,Actriz,Muy alta,Fácil,Siglo XX,Internacional,true
25,Tom Hanks,Cine y TV,Actor,Muy alta,Fácil,Siglo XX,Internacional,true
26,Pedro Almodóvar,Cine y TV,Director,Muy alta,Fácil,Actual,Internacional,false
27,Al Pacino,Cine y TV,Actor,Alta,Media,Siglo XX,Internacional,true
28,Frida Kahlo,Arte,Pintora,Muy alta,Fácil,Siglo XX,Internacional,true
29,Pablo Picasso,Arte,Pintor,Muy alta,Fácil,Siglo XX,Internacional,true
30,Vincent van Gogh,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true
31,Salvador Dalí,Arte,Pintor,Muy alta,Fácil,Siglo XX,Internacional,true
32,Leonardo da Vinci,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true
33,Miguel de Cervantes,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true
34,William Shakespeare,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true
35,J. K. Rowling,Literatura,Escritora,Muy alta,Fácil,Actual,Internacional,true
36,Gabriel García Márquez,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
37,Agatha Christie,Literatura,Escritora,Alta,Media,Siglo XX,Internacional,true
38,Don Quijote,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true
39,Harry Potter,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true
40,Sherlock Holmes,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true
41,Mafalda,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
42,Tintín,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
43,Astérix,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
44,Obélix,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
45,Darth Vader,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
46,Indiana Jones,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
47,La Sirenita,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
48,Pitufina,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
49,Woody,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
50,Buzz Lightyear,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
51,Mickey Mouse,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
52,Pato Donald,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
53,Goofy,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
54,Simba,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
55,Scar,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
56,Ariel,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
57,Cenicienta,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
58,Blancanieves,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
59,Peter Pan,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
60,Campanilla,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
61,Homer Simpson,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
62,Bart Simpson,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
63,Bob Esponja,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
64,Scooby-Doo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
67,Superman,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
68,Batman,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
69,Spider-Man,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
70,Hulk,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
71,Iron Man,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
72,Thor,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
73,Capitán América,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
74,Wonder Woman,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
75,Joker,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
76,Harley Quinn,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
77,Thanos,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
78,Hermione Granger,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
79,Ron Weasley,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
80,Gandalf,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
