id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,internacional
28,Frida Kahlo,Arte,Pintora,Muy alta,Fácil,Siglo XX,true
29,Pablo Picasso,Arte,Pintor,Muy alta,Fácil,Siglo XX,true
30,Vincent van Gogh,Arte,Pintor,Muy alta,Fácil,Histórica,true
31,Salvador Dalí,Arte,Pintor,Muy alta,Fácil,Siglo XX,true
32,Leonardo da Vinci,Arte,Pintor,Muy alta,Fácil,Histórica,true
220,La Gioconda,Arte,Cuadro,Muy alta,Fácil,Histórica,true
456,Miguel Ángel,Arte,Escultor,Muy alta,Fácil,Histórica,true
229,Stephen Hawking,Ciencia,Físico,Muy alta,Fácil,Siglo XX,true
2389,Elon Musk,Ciencia,Tecnología,Muy alta,Fácil,Actual,true
4291,Albert Einstein,Ciencia,Físico,Muy alta,Fácil,Siglo XX,true
18,Penélope Cruz,Cine y TV,Actriz,Muy alta,Fácil,Actual,true
19,Antonio Banderas,Cine y TV,Actor,Muy alta,Fácil,Actual,true
20,Javier Bardem,Cine y TV,Actor,Muy alta,Fácil,Actual,true
21,Johnny Depp,Cine y TV,Actor,Muy alta,Fácil,Actual,true
22,Leonardo DiCaprio,Cine y TV,Actor,Muy alta,Fácil,Actual,true
24,Marilyn Monroe,Cine y TV,Actriz,Muy alta,Fácil,Siglo XX,true
25,Tom Hanks,Cine y TV,Actor,Muy alta,Fácil,Siglo XX,true
26,Pedro Almodóvar,Cine y TV,Director,Muy alta,Fácil,Actual,false
41,Mafalda,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
42,Tintín,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
43,Astérix,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
44,Obélix,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
45,Darth Vader,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
46,Indiana Jones,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
47,La Sirenita,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
48,Pitufina,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
49,Woody,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
50,Buzz Lightyear,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
51,Mickey Mouse,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
52,Pato Donald,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
53,Goofy,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
54,Simba,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
55,Scar,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
56,Ariel,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
57,Cenicienta,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
501,Zeus,Cultura,Mitología griega,Muy alta,Fácil,Histórica,true
502,Afrodita,Cultura,Mitología griega,Muy alta,Fácil,Histórica,true
503,Hércules,Cultura,Mitología griega,Muy alta,Fácil,Histórica,true
504,Medusa,Cultura,Mitología griega,Muy alta,Fácil,Histórica,true
505,Poseidón,Cultura,Mitología griega,Muy alta,Fácil,Histórica,true
507,Cupido,Cultura,Mitología romana,Muy alta,Fácil,Histórica,true
718,Pegaso,Cultura,Mitología,Muy alta,Fácil,Histórica,true
1306,Sirena,Cultura,Mitología,Muy alta,Fácil,Histórica,true
1308,Unicornio,Cultura,Mitología,Muy alta,Fácil,Histórica,true
1309,Fénix,Cultura,Mitología,Muy alta,Fácil,Histórica,true
1310,Dragón,Cultura,Mitología,Muy alta,Fácil,Histórica,true
1597,Hombre lobo,Cultura,Mitología,Muy alta,Fácil,Actual,true
1598,Momia,Cultura,Mitología,Muy alta,Fácil,Actual,true
1599,Zombi,Cultura,Mitología,Muy alta,Fácil,Actual,true
1600,Duende,Cultura,Mitología,Muy alta,Fácil,Actual,true
1601,Gnomo,Cultura,Mitología,Muy alta,Fácil,Actual,true
1602,Ogro,Cultura,Mitología,Muy alta,Fácil,Actual,true
1603,Troll,Cultura,Mitología,Muy alta,Fácil,Actual,true
1604,Bruja,Cultura,Mitología,Muy alta,Fácil,Actual,true
1605,Mago,Cultura,Mitología,Muy alta,Fácil,Actual,true
2356,Vampiro,Cultura,Mitología,Muy alta,Fácil,Actual,true
2357,Hada,Cultura,Mitología,Muy alta,Fácil,Actual,true
2358,Elfo,Cultura,Mitología,Muy alta,Fácil,Actual,true
2360,Merlín,Cultura,Mitología,Muy alta,Fácil,Actual,true
4151,Papa Francisco,Cultura,Persona/Personaje,Muy alta,Fácil,Actual,true
1,Lionel Messi,Deportes,Futbolista,Muy alta,Fácil,Actual,true
2,Cristiano Ronaldo,Deportes,Futbolista,Muy alta,Fácil,Actual,true
3,Rafa Nadal,Deportes,Tenista,Muy alta,Fácil,Actual,true
4,Fernando Alonso,Deportes,Automovilismo,Muy alta,Fácil,Actual,true
5,Michael Jordan,Deportes,Baloncesto,Muy alta,Fácil,Siglo XX,true
6,Serena Williams,Deportes,Tenis,Muy alta,Fácil,Actual,true
7,Diego Maradona,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
8,Pelé,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
9,Iker Casillas,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
201,Fernando Torres,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
202,Andrés Iniesta,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
203,Xavi Hernández,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
204,Sergio Ramos,Deportes,Futbolista,Muy alta,Fácil,Actual,true
205,Zinedine Zidane,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
206,Ronaldinho,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
207,Neymar,Deportes,Futbolista,Muy alta,Fácil,Actual,true
208,Kylian Mbappé,Deportes,Futbolista,Muy alta,Fácil,Actual,true
209,Lewis Hamilton,Deportes,Automovilismo,Muy alta,Fácil,Actual,true
210,Marc Márquez,Deportes,Motociclismo,Muy alta,Fácil,Actual,true
211,Usain Bolt,Deportes,Atletismo,Muy alta,Fácil,Siglo XX,true
212,Michael Phelps,Deportes,Natación,Muy alta,Fácil,Siglo XX,true
213,Tiger Woods,Deportes,Golf,Muy alta,Fácil,Siglo XX,true
214,Pep Guardiola,Deportes,Entrenador,Muy alta,Fácil,Actual,true
215,Real Madrid,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,true
216,FC Barcelona,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,true
233,Julio César,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
234,Cristóbal Colón,Historia,Explorador,Muy alta,Fácil,Histórica,true
236,Nelson Mandela,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
237,Napoleón,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
459,Alejandro Magno,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
460,Mahatma Gandhi,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
461,Martin Luther King,Historia,Activista,Muy alta,Fácil,Siglo XX,true
462,Abraham Lincoln,Historia,Presidente,Muy alta,Fácil,Siglo XX,true
684,Tutankamón,Historia,Faraón,Muy alta,Fácil,Histórica,true
1069,Che Guevara,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1076,Moisés,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
1112,Neil Armstrong,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1493,Barack Obama,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1498,Buda,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
1499,Jesús,Historia,Personaje histórico,Muy alta,Fácil,Histórica,true
1501,Revolución Francesa,Historia,Evento,Muy alta,Fácil,Histórica,true
1502,Primera Guerra Mundial,Historia,Evento,Muy alta,Fácil,Siglo XX,true
1503,Segunda Guerra Mundial,Historia,Evento,Muy alta,Fácil,Siglo XX,true
1505,Llegada a la Luna,Historia,Evento,Muy alta,Fácil,Siglo XX,true
1507,Renacimiento,Historia,Evento,Muy alta,Fácil,Actual,true
1508,Antiguo Egipto,Historia,Civilización,Muy alta,Fácil,Actual,true
1509,Imperio Romano,Historia,Civilización,Muy alta,Fácil,Actual,true
1863,Walt Disney,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1864,Steve Jobs,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1865,Bill Gates,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
33,Miguel de Cervantes,Literatura,Escritor,Muy alta,Fácil,Histórica,true
34,William Shakespeare,Literatura,Escritor,Muy alta,Fácil,Histórica,true
35,J. K. Rowling,Literatura,Escritora,Muy alta,Fácil,Actual,true
38,Don Quijote,Literatura,Personaje,Muy alta,Fácil,Histórica,true
39,Harry Potter,Literatura,Personaje,Muy alta,Fácil,Actual,true
40,Sherlock Holmes,Literatura,Personaje,Muy alta,Fácil,Histórica,true
227,Romeo y Julieta,Literatura,Obra,Muy alta,Fácil,Histórica,true
1457,Hansel y Gretel,Literatura,Personaje,Muy alta,Fácil,Actual,true
1458,Pulgarcito,Literatura,Personaje,Muy alta,Fácil,Actual,true
1459,Alí Babá,Literatura,Personaje,Muy alta,Fácil,Actual,true
