id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
1,Lionel Messi,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true,true
2,Cristiano Ronaldo,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true,true
3,Rafa Nadal,Deportes,Tenista,Muy alta,Fácil,Actual,Internacional,true,true
4,Fernando Alonso,Deportes,Automovilismo,Muy alta,Fácil,Actual,Internacional,true,true
5,Michael Jordan,Deportes,Baloncesto,Muy alta,Fácil,Histórica,Internacional,true,true
6,Serena Williams,Deportes,Tenis,Muy alta,Fácil,Actual,Internacional,true,true
7,Diego Maradona,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,true,true
8,Pelé,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,true,true
9,Iker Casillas,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
10,Rosalía,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,false
11,Shakira,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
12,Michael Jackson,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,true,true
13,Freddie Mercury,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,true,true
14,Madonna,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,false,true
15,Bad Bunny,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
16,David Bowie,Música,Cantante,Alta,Media,Histórica,Internacional,false,true
17,Adele,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
18,Penélope Cruz,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,false,true
19,Antonio Banderas,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
20,Javier Bardem,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,false,true
21,Johnny Depp,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
22,Leonardo DiCaprio,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,false,true
23,Meryl Streep,Cine y TV,Actor/Actriz,Alta,Media,Histórica,Internacional,false,true
24,Marilyn Monroe,Cine y TV,Actor/Actriz,Muy alta,Fácil,Histórica,Internacional,false,true
25,Tom Hanks,Cine y TV,Actor/Actriz,Muy alta,Fácil,Histórica,Internacional,true,true
26,Pedro Almodóvar,Cine y TV,Director/a,Muy alta,Fácil,Actual,Internacional,false,false
27,Al Pacino,Cine y TV,Actor/Actriz,Alta,Media,Histórica,Internacional,false,true
28,Frida Kahlo,Arte,Pintora,Muy alta,Fácil,Histórica,Internacional,true,true
29,Pablo Picasso,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
30,Vincent van Gogh,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
31,Salvador Dalí,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
