id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,internacional
F001,Cepillo de dientes,Objetos,Higiene,Muy alta,Fácil,Actual,Internacional,true
F002,Mochila,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F003,Lápiz,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F004,Goma de borrar,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F005,Libro,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F006,Cuaderno,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F007,Tijeras,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F008,Pegamento,Objetos,Colegio,Muy alta,Fácil,Actual,Internacional,true
F009,Balón,Objetos,Deporte,Muy alta,Fácil,Actual,Internacional,true
F010,Patinete,Objetos,Juguete,Muy alta,Fácil,Actual,Internacional,true
F011,Bicicleta,Objetos,Transporte,Muy alta,Fácil,Actual,Internacional,true
F012,Casco,Objetos,Deporte,Muy alta,Fácil,Actual,Internacional,true
F013,Gafas de sol,Objetos,Ropa,Muy alta,Fácil,Actual,Internacional,true
F014,Zapatillas,Objetos,Ropa,Muy alta,Fácil,Actual,Internacional,true
F015,Paraguas,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F016,Llaves,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F017,Mando a distancia,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F018,Sofá,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F019,Cama,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F020,Almohada,Objetos,Casa,Muy alta,Fácil,Actual,Internacional,true
F021,Teléfono móvil,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F022,Tablet,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F023,Auriculares,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F024,Cargador,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F025,Cámara,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F026,Reloj,Objetos,Tecnología,Muy alta,Fácil,Actual,Internacional,true
F027,Cepillo del pelo,Objetos,Higiene,Muy alta,Fácil,Actual,Internacional,true
F028,Champú,Objetos,Higiene,Muy alta,Fácil,Actual,Internacional,true
F029,Jabón,Objetos,Higiene,Muy alta,Fácil,Actual,Internacional,true
F030,Toalla,Objetos,Higiene,Muy alta,Fácil,Actual,Internacional,true
