id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
1,Lionel Messi,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true,true
2,Cristiano Ronaldo,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true,true
3,Rafa Nadal,Deportes,Tenista,Muy alta,Fácil,Actual,Internacional,true,true
4,Fernando Alonso,Deportes,Automovilismo,Muy alta,Fácil,Actual,Internacional,true,true
5,Michael Jordan,Deportes,Baloncesto,Muy alta,Fácil,Histórica,Internacional,true,true
6,Serena Williams,Deportes,Tenis,Muy alta,Fácil,Actual,Internacional,true,true
7,Diego Maradona,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,true,true
8,Pelé,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,true,true
10,Rosalía,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,false
11,Shakira,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
12,Michael Jackson,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,true,true
13,Freddie Mercury,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,true,true
17,Adele,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
19,Antonio Banderas,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
21,Johnny Depp,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
25,Tom Hanks,Cine y TV,Actor/Actriz,Muy alta,Fácil,Histórica,Internacional,true,true
28,Frida Kahlo,Arte,Pintora,Muy alta,Fácil,Histórica,Internacional,true,true
29,Pablo Picasso,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
30,Vincent van Gogh,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
31,Salvador Dalí,Arte,Pintor,Muy alta,Fácil,Histórica,Internacional,true,true
32,Leonardo da Vinci,Arte,Artista,Muy alta,Fácil,Histórica,Internacional,true,true
33,Miguel de Cervantes,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true,true
34,William Shakespeare,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true,true
35,J. K. Rowling,Literatura,Escritora,Muy alta,Fácil,Actual,Internacional,true,true
38,Don Quijote,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true,true
39,Harry Potter,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
40,Sherlock Holmes,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true,true
41,Mafalda,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
42,Tintín,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
43,Astérix,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
44,Obélix,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
45,Darth Vader,Personajes,Ciencia ficción,Muy alta,Fácil,Histórica,Internacional,true,true
